"Date","Time","Open","High","Low","Close","Vol","OI","Vol","VolAvg"
06/23/1972,16:00,108.36,109.66,107.37,108.27,69503,0,0.00,0.00
06/30/1972,16:00,108.23,108.29,105.94,107.14,66097,0,0.00,0.00
07/07/1972,16:00,107.14,110.27,106.72,108.69,55275,0,0.00,0.00
07/14/1972,16:00,108.69,109.16,105.62,106.80,69365,0,0.00,0.00
07/21/1972,16:00,106.80,107.37,104.43,106.66,76974,0,0.00,0.00
07/28/1972,16:00,106.66,108.88,106.52,107.38,76257,0,0.00,0.00
08/04/1972,16:00,107.38,111.12,106.60,110.43,80276,0,0.00,0.00
08/11/1972,16:00,110.43,112.40,109.67,111.95,75350,0,0.00,0.00
08/18/1972,16:00,111.95,113.45,110.72,111.76,81006,0,0.00,0.00
08/25/1972,16:00,111.76,113.27,109.78,110.67,83644,0,0.00,0.00
09/01/1972,16:00,110.67,112.12,109.26,111.51,59447,0,0.00,0.00
09/08/1972,16:00,111.51,112.08,109.67,110.15,44725,0,0.00,0.00
09/15/1972,16:00,110.15,110.57,107.81,108.81,61556,0,0.00,0.00
09/22/1972,16:00,108.81,109.57,107.72,108.52,58758,0,0.00,0.00
09/29/1972,16:00,108.52,110.75,107.35,110.55,69636,0,0.00,0.00
10/06/1972,16:00,110.55,111.35,107.78,109.62,76549,0,0.00,0.00
10/13/1972,16:00,109.62,111.11,107.17,107.92,59170,0,0.00,0.00
10/20/1972,16:00,107.92,109.79,106.27,109.24,71233,0,0.00,0.00
10/27/1972,16:00,109.51,112.26,109.38,110.62,83174,0,0.00,0.00
11/03/1972,16:00,110.62,114.81,109.66,114.22,91840,0,0.00,0.00
11/10/1972,16:00,114.22,115.23,112.08,113.73,87376,0,0.00,0.00
11/17/1972,16:00,113.73,116.23,112.91,115.49,100488,0,0.00,0.00
11/24/1972,16:00,115.49,117.91,114.57,117.27,79069,0,0.00,0.00
12/01/1972,16:00,117.27,118.18,115.56,117.38,96733,0,0.00,0.00
12/08/1972,16:00,117.38,119.54,116.89,118.86,93499,0,0.00,0.00
12/15/1972,16:00,118.86,119.79,117.37,118.26,87039,0,0.00,0.00
12/22/1972,16:00,117.88,117.88,114.63,115.83,83870,0,0.00,0.00
12/29/1972,16:00,115.83,118.77,115.54,118.05,57786,0,0.00,0.00
01/05/1973,16:00,118.06,120.71,118.06,119.87,77281,0,0.00,0.00
01/12/1973,16:00,119.87,121.74,118.69,119.30,101839,0,0.00,0.00
01/19/1973,16:00,119.30,120.82,117.04,118.78,93206,0,0.00,0.00
01/26/1973,16:00,118.78,119.63,114.97,116.45,76636,0,0.00,0.00
02/02/1973,16:00,116.45,117.18,113.45,114.35,82980,0,0.00,0.00
02/09/1973,16:00,114.35,115.48,111.85,114.68,85983,0,0.00,0.00
02/16/1973,16:00,114.69,118.98,113.70,114.98,85295,0,0.00,0.00
02/23/1973,16:00,114.98,116.26,112.77,113.16,58935,0,0.00,0.00
03/02/1973,16:00,113.16,113.26,109.45,112.28,85878,0,0.00,0.00
03/09/1973,16:00,112.28,115.23,111.33,113.79,79912,0,0.00,0.00
03/16/1973,16:00,113.79,115.61,112.84,113.54,71057,0,0.00,0.00
03/23/1973,16:00,113.50,113.50,107.41,108.88,77412,0,0.00,0.00
03/30/1973,16:00,108.88,113.22,108.29,111.52,78106,0,0.00,0.00
04/06/1973,16:00,111.52,111.70,107.44,109.28,62075,0,0.00,0.00
04/13/1973,16:00,109.28,113.65,108.74,112.08,76174,0,0.00,0.00
04/20/1973,16:00,112.08,112.93,109.99,112.17,52626,0,0.00,0.00
04/27/1973,16:00,112.17,112.66,106.76,107.23,72306,0,0.00,0.00
05/04/1973,16:00,107.23,111.99,105.34,111.00,81852,0,0.00,0.00
05/11/1973,16:00,111.00,112.25,107.70,108.17,68787,0,0.00,0.00
05/18/1973,16:00,107.74,107.74,103.18,103.86,75964,0,0.00,0.00
05/25/1973,16:00,103.77,108.86,101.36,107.94,90247,0,0.00,0.00
06/01/1973,16:00,107.94,108.58,103.31,103.93,45621,0,0.00,0.00
06/08/1973,16:00,103.93,107.75,102.33,107.03,66615,0,66615.00,0.00
06/15/1973,16:00,107.03,109.52,104.37,105.10,64666,0,64666.00,0.00
06/22/1973,16:00,104.96,105.66,102.46,103.70,65125,0,65125.00,0.00
06/29/1973,16:00,103.64,105.30,101.45,104.26,61912,0,61912.00,0.00
07/06/1973,16:00,104.10,104.10,100.67,101.28,40857,0,40857.00,0.00
07/13/1973,16:00,101.28,106.62,100.44,104.09,73169,0,73169.00,0.00
07/20/1973,16:00,104.09,108.02,103.42,107.14,83626,0,83626.00,0.00
07/27/1973,16:00,107.14,111.04,106.31,109.59,85403,0,85403.00,0.00
